team_name,fanbase
 Dallas Cowboys ,15339953
 New England Patriots ,14940222
 Pittsburgh Steelers ,11947384
 Green Bay Packers ,9242641
 Seattle Seahawks ,8551687
 Philadelphia Eagles ,8393965
 Denver Broncos ,8128353
 San Francisco 49ers ,7702476
 New York Giants ,7510037
 Carolina Panthers ,6888551
 Chicago Bears ,6731233
 New Orleans Saints ,6573093
 Oakland Raiders ,6348929
 Atlanta Falcons ,5267670
 Houston Texans ,5159282
 Baltimore Ravens ,4607304
 Minnesota Vikings ,4263536
 Miami Dolphins ,4126949
 Washington Football Team ,3853734
 Detroit Lions ,3837838
 Indianapolis Colts ,3814132
 New York Jets ,3710918
 Kansas City Chiefs ,3674277
 Cleveland Browns ,3205416
 Arizona Cardinals ,3011869
 Los Angeles Chargers ,2966914
 Los Angeles Rams ,2403798
 Cincinnati Bengals ,2391176
 Buffalo Bills ,2357212
 Tennessee Titans ,2113262
 Tampa Bay Buccaneers ,2094067
 Jacksonville Jaguars ,1729604
