team_away,team_home,Network,Second Network,Third Network,Week,Rating,Viewers (in millions),schedule_season
Steelers, Patriots ,NBC,,,1,16.2,27.4,2015
Giants, Cowboys ,NBC,,,1,15.4,26.8,2015
Ravens, Broncos ,CBS,,,1,13.5,23.3,2015
Packers, Bears ,FOX,,,1,11.6,20.1,2015
Regional,,CBS,,,1,-,14.9,2015
Vikings, 49ers ,ESPN,,,1,8.8,14.3,2015
Eagles, Falcons ,ESPN,,,1,8.5,13.6,2015
Cowboys, Eagles ,FOX,,,2,15.5,27.2,2015
Seahawks, Packers ,NBC,,,2,15.1,26.4,2015
Broncos, Chiefs ,CBS, NFLN,,2,12.9,21.1,2015
Regional,,CBS,,,2,-,16.7,2015
Falcons, Giants ,FOX,,,2,-,15.3,2015
Jets, Colts ,ESPN,,,2,8.1,12.5,2015
Bears, Seahawks ,CBS,,,3,12.9,22.1,2015
Broncos, Lions ,NBC,,,3,13.1,22.1,2015
Falcons, Cowboys ,FOX,,,3,-,18.3,2015
Washington Football Team, Giants ,CBS, NFLN,,3,10.5,16.9,2015
Regional,,CBS,,,3,-,15.1,2015
Chiefs, Packers ,ESPN,,,3,8.3,13.5,2015
Packers, 49ers ,FOX,,,4,15,25.9,2015
Cowboys, Saints ,NBC,,,4,14.1,24.2,2015
Ravens, Steelers ,CBS, NFLN,,4,11.8,19.4,2015
Regional,,CBS,,,4,-,15.8,2015
Lions, Seahawks ,ESPN,,,4,9,14.4,2015
Giants, Bills ,FOX,,,4,-,12.8,2015
Jets, Dolphins ,CBS,,,4,-,9.9,2015
Patriots, Cowboys ,CBS,,,5,15.2,26.1,2015
49ers, Giants ,NBC,,,5,11.8,19.6,2015
Seahawks, Bengals ,FOX,,,5,-,18,2015
Colts, Texans ,CBS, NFLN,,5,9.5,15.1,2015
Regional,,CBS,,,5,-,13.6,2015
Steelers, Chargers ,ESPN,,,5,7.7,12.2,2015
Chargers, Packers ,CBS,,,6,14.5,25,2015
Patriots, Colts ,NBC,,,6,13.1,22.8,2015
Regional,,CBS,,,6,10.9,18.3,2015
Panthers, Seahawks ,FOX,,,6,10.6,17.9,2015
Falcons,,CBS, NFLN,,6,9.3,14.8,2015
Giants, Eagles ,ESPN,,,6,8.7,13.9,2015
Cowboys, Giants ,FOX,,,7,14.4,24.5,2015
Eagles, Panthers ,NBC,,,7,12.2,20.6,2015
Regional,,CBS,,,7,11.6,19.2,2015
Seahawks, 49ers ,CBS, NFLN,,7,10.5,17.1,2015
Saints, Colts ,FOX,,,7,7.9,12.5,2015
Ravens, Cardinals ,ESPN,,,7,7.8,12.2,2015
Bills, Jaguars ,Yahoo!,,,7,-,1.6,2015
Seahawks, Cowboys ,FOX,,,8,17,29.4,2015
Packers, Broncos ,NBC,,,8,13,23,2015
Dolphins, Patriots ,CBS, NFLN,,8,10.9,17.5,2015
Giants, Saints ,FOX,,,8,10.1,16.6,2015
Regional,,CBS,,,8,8.4,14.1,2015
Colts, Panthers ,ESPN,,,8,7.8,12.4,2015
Lions,Chiefs,FOX,,,8,5.3,8.4,2015
Broncos, Colts ,CBS,,,9,14.3,24,2015
Eagles, Cowboys ,NBC,,,9,13.6,23,2015
Packers, Panthers ,FOX,,,9,12.5,20.9,2015
Regional,,CBS,,,9,8.1,13.2,2015
Bears, Chargers ,ESPN,,,9,7.3,11.4,2015
Browns, Bengals ,NFLN,,,9,5.5,8.8,2015
Patriots, Giants ,CBS,,,10,16.3,28.3,2015
Vikings, Raiders ,FOX,,,10,11.6,19.6,2015
Cardinals, Seahawks ,NBC,,,10,11.4,19.4,2015
Regional,,CBS,,,10,8.5,14.2,2015
Texans, Bengals ,ESPN,,,10,7.7,12.2,2015
Bills, Jets ,NFLN,,,10,4.8,7.6,2015
Packers, Vikings ,FOX,,,11,15.5,27.5,2015
Bengals, Cardinals ,NBC,,,11,10.7,18,2015
Regional,,CBS,,,11,10.4,17.4,2015
Bills, Patriots ,ESPN,,,11,8.9,14.3,2015
Washington Football Team, Panthers ,FOX,,,11,8.1,13.7,2015
Titans, Jaguars ,NFLN,,,11,4.2,6.6,2015
Panthers, Cowboys ,CBS,,,12,14.3,32.5,2015
Bears, Packers ,NBC,,,12,13.8,27.8,2015
Steelers, Seahawks ,CBS,,,12,15.4,26.6,2015
Eagles, Lions ,FOX,,,12,12.3,25.4,2015
Patriots, Broncos ,NBC,,,12,14.6,25.2,2015
Giants, Washington Football Team,FOX,,,12,12.3,20.5,2015
Ravens, Browns ,ESPN,,,12,6.5,10.1,2015
Regional,,CBS,,,12,6,9.8,2015
Panthers, Saints ,FOX,,,13,16.3,28.6,2015
Colts, Steelers ,NBC,,,13,11.1,19.2,2015
Packers, Lions ,CBS, NFLN,,13,11,17.8,2015
Jets, Giants ,CBS,,,13,10.2,17.2,2015
Seahawks, Vikings ,FOX,,,13,9.4,15.4,2015
Cowboys, Washington Football Team,ESPN,,,13,8.7,14.2,2015
Cowboys, Packers ,FOX,,,14,16.5,28.9,2015
Patriots, Texans ,NBC,,,14,12.3,21,2015
Regional,,CBS,,,14,10.9,18.6,2015
Falcons, Panthers ,FOX,,,14,8.9,15.2,2015
Giants, Dolphins ,ESPN,,,14,7.4,11.5,2015
Vikings, Cardinals ,NFLN,,,14,5.5,8.7,2015
Broncos, Steelers ,CBS,,,15,14.5,25,2015
Panthers, Giants ,FOX,,,15,14.5,25,2015
Cardinals, Eagles ,NBC,,,15,10.5,18.1,2015
Lions, Saints ,ESPN,,,15,6.7,10.9,2015
Jets, Cowboys ,NFLN,,,15,4.3,7.4,2015
Buccaneers, Rams ,NFLN,,,15,3.8,6,2015
Packers, Cardinals ,FOX,,,16,15.5,27.8,2015
Vikings, Giants ,NBC,,,16,10.4,17.9,2015
Regional,,CBS,,,16,-,17.6,2015
Panthers, Falcons ,FOX,,,16,-,16.2,2015
Bengals, Broncos ,ESPN,,,16,9.4,15.8,2015
Washington Football Team, Eagles ,NFLN,,,16,-,8.1,2015
Chargers, Raiders ,NFLN,,,16,-,7.7,2015
Vikings, Panthers ,NBC,,,17,13.8,24.3,2015
Seahawks, Cardinals ,FOX,,,17,12,20.9,2015
Regional,,CBS,,,17,11.2,18.6,2015
Regional,,CBS,,,17,10.3,17.6,2015
Rams, 49ers ,ESPN,,,1,6.2,10.3,2016
Steelers, Washington Football Team ,ESPN,,,1,7.7,13,2016
Packers, Jaguars ,FOX,,,1,9.2,15.8,2016
Regional,,CBS,,,1,9.3,16,2016
Patriots, Cardinals ,NBC,,,1,13.1,23.1,2016
Panthers, Broncos ,NBC,,,1,14.6,25.2,2016
Giants, Cowboys ,FOX,,,1,15.5,27.5,2016
Eagles, Bears ,ESPN,,,2,7.3,12.1,2016
Regional,,CBS,,,2,8.5,14.4,2016
Jets, Bills ,CBS, NFLN,,2,9.5,15.4,2016
Cowboys, Washington Football Team ,FOX,,,2,11,19.2,2016
Colts, Broncos ,CBS,,,2,12.2,21.4,2016
