Team_home,team_away,schedule_season,schedule_star,schedule_middle,schedule_end,,
Arizona Cardinals,Arizona Cardinals,2015,10,6,4,,
Atlanta Falcons,Atlanta Falcons,2015,23,7,15,,
Baltimore Ravens,Baltimore Ravens,2015,8,27,26,,
Buffalo Bills,Buffalo Bills,2015,18,16,14,,
Carolina Panthers,Carolina Panthers,2015,19,3,1,,
Chicago Bears,Chicago Bears,2015,25,21,25,,
Cincinnati Bengals,Cincinnati Bengals,2015,11,2,6,,
Cleveland Browns,Cleveland Browns,2015,27,23,32,,
Dallas Cowboys,Dallas Cowboys,2015,6,23,30,,
Denver Broncos,Denver Broncos,2015,5,4,2,,
Detroit Lions,Detroit Lions,2015,12,30,20,,
Green Bay Packers,Green Bay Packers,2015,3,5,10,,
Houston Texans,Houston Texans,2015,20,25,13,,
Indianapolis Colts,Indianapolis Colts,2015,4,22,17,,
Jacksonville Jaguars,Jacksonville Jaguars,2015,31,31,27,,
Kansas City Chiefs,Kansas City Chiefs,2015,14,20,8,,
Los Angeles Chargers,Los Angeles Chargers,2015,13,19,28,,
Los Angeles Rams,Los Angeles Rams,2015,22,10,22,,
Miami Dolphins,Miami Dolphins,2015,17,8,9,,
Minnesota Vikings,Minnesota Vikings,2015,17,8,9,,
New England Patriots,New England Patriots,2015,2,1,5,,
New Orleans Saints,New Orleans Saints,2015,16,15,19,,
New York Giants,New York Giants,2015,21,14,23,,
New York Jets,New York Jets,2015,26,11,12,,
Las Vegas Raiders,Las Vegas Raiders,2015,28,13,16,,
Philadelphia Eagles,Philadelphia Eagles,2015,9,16,18,,
Pittsburgh Steelers,Pittsburgh Steelers,2015,7,13,7,,
San Francisco 49ers,San Francisco 49ers,2015,24,31,29,,
Seattle Seahawks,Seattle Seahawks,2015,1,8,3,,
Tampa Bay Buccaneers,Tampa Bay Buccaneers,2015,29,25,24,,
Tennessee Titans,Tennessee Titans,2015,30,29,31,,
Washington Football Team,Washington Football Team,2015,32,26,11,,
Arizona Cardinals,Arizona Cardinals,2016,4,12,18,,
Atlanta Falcons,Atlanta Falcons,2016,22,9,7,,
Baltimore Ravens,Baltimore Ravens,2016,15,20,14,,
Buffalo Bills,Buffalo Bills,2016,16,18,25,,
Carolina Panthers,Carolina Panthers,2016,5,16,24,,
Chicago Bears,Chicago Bears,2016,29,29,30,,
Cincinnati Bengals,Cincinnati Bengals,2016,7,13,21,,
Cleveland Browns,Cleveland Browns,2016,31,32,32,,
Dallas Cowboys,Dallas Cowboys,2016,23,2,2,,
Denver Broncos,Denver Broncos,2016,8,3,11,,
Detroit Lions,Detroit Lions,2016,20,21,10,,
Green Bay Packers,Green Bay Packers,2016,6,5,5,,
Houston Texans,Houston Texans,2016,13,17,16,,
Indianapolis Colts,Indianapolis Colts,2016,18,25,20,,
Jacksonville Jaguars,Jacksonville Jaguars,2016,19,30,27,,
Kansas City Chiefs,Kansas City Chiefs,2016,9,11,4,,
Los Angeles Chargers,Los Angeles Chargers,2016,26,14,26,,
Los Angeles Rams,Los Angeles Rams,2016,28,24,29,,
Miami Dolphins,Miami Dolphins,2016,21,28,12,,
Minnesota Vikings,Minnesota Vikings,2016,12,7,19,,
New England Patriots,New England Patriots,2016,3,1,1,,
New Orleans Saints,New Orleans Saints,2016,27,19,22,,
New York Giants,New York Giants,2016,17,22,8,,
New York Jets,New York Jets,2016,10,27,28,,
Las Vegas Raiders,Las Vegas Raiders,2016,11,6,9,,
Philadelphia Eagles,Philadelphia Eagles,2016,25,10,23,,
Pittsburgh Steelers,Pittsburgh Steelers,2016,2,8,3,,
San Francisco 49ers,San Francisco 49ers,2016,32,31,32,,
Seattle Seahawks,Seattle Seahawks,2016,1,4,6,,
Tampa Bay Buccaneers,Tampa Bay Buccaneers,2016,24,26,13,,
Tennessee Titans,Tennessee Titans,2016,30,23,15,,
Washington Football Team,Washington Football Team,2016,14,15,17,,
Arizona Cardinals,Arizona Cardinals,2017,10,28,21,,
Atlanta Falcons,Atlanta Falcons,2017,2,13,9,,
Baltimore Ravens,Baltimore Ravens,2017,21,23,16,,
Buffalo Bills,Buffalo Bills,2017,26,11,14,,
Carolina Panthers,Carolina Panthers,2017,16,12,7,,
